mechanism,n_probes,time
kprobes, 600, 0.25430917739868164
kamprobes, 800, 0.009153127670288086
kprobes, 800, 0.34696149826049805
kprobes, 200, 0.05389738082885742
kamprobes, 650, 0.006501436233520508
kamprobes, 750, 0.007425785064697266
kprobes, 950, 0.41921305656433105
kamprobes, 850, 0.007439374923706055
kamprobes, 150, 0.001828908920288086
kamprobes, 400, 0.0050623416900634766
kprobes, 950, 0.4420311450958252
kamprobes, 550, 0.005826234817504883
kprobes, 200, 0.0625004768371582
kprobes, 700, 0.28414177894592285
kprobes, 50, 0.011092185974121094
kamprobes, 400, 0.0034170150756835938
kprobes, 500, 0.1769413948059082
kamprobes, 650, 0.0053784847259521484
kprobes, 750, 0.2996697425842285
kamprobes, 450, 0.023294925689697266
